DATE,min,max
2020/6/14,62.535442,80.54611
2020/6/15,65.90771,85.92539
2020/6/16,67.402466,90.82947
2020/6/17,63.299603,84.25272
2020/6/18,59.495705,79.73978
2020/6/19,56.57427,72.128586
2020/6/20,59.170006,80.13994
2020/6/21,52.165527,67.441216
2020/6/22,56.139168,74.70275
2020/6/23,60.969334,80.26093
2020/6/24,60.7868,81.07214
2020/6/25,63.11781,84.48943
2020/6/26,68.716515,87.62308
2020/6/27,68.10071,88.834305
2020/6/28,57.19132,72.48913
2020/6/29,43.70776,59.514084
2020/6/30,55.699123,72.32661
2020/7/1,70.49019,94.92452
2020/7/2,57.29821,74.67533
2020/7/3,52.269115,70.535934
2020/7/4,59.05227,78.64274
2020/7/5,60.5702,81.07036
2020/7/6,62.580116,82.57168
2020/7/7,65.01043,83.401276
2020/7/8,66.80874,85.2257
2020/7/9,63.656338,83.74652
2020/7/10,66.362175,86.17902
2020/7/11,66.30145,88.76453
2020/7/12,70.750885,95.551506
2020/7/13,74.7678,99.96303
2020/7/14,74.70576,97.0831
2020/7/15,60.880054,81.932274
2020/7/16,62.678196,74.278755
2020/7/17,59.420765,79.18095
2020/7/18,66.19974,87.793594
2020/7/19,68.42931,90.0627
2020/7/20,66.28373,86.14409
2020/7/21,61.07899,81.37841
2020/7/22,64.18716,84.787544
2020/7/23,67.36881,89.69227
2020/7/24,75.95086,93.105515
2020/7/25,70.275505,89.75859
2020/7/26,69.18728,85.70983
2020/7/27,59.863564,80.12986
2020/7/28,63.608875,85.584274
2020/7/29,65.32183,87.65766
2020/7/30,70.35781,91.26844
2020/7/31,70.138084,89.49152
2020/8/1,66.817245,86.3644
2020/8/2,68.17307,88.52121
2020/8/3,67.452736,88.64435
2020/8/4,66.609924,88.8608
2020/8/5,70.52082,91.52654
2020/8/6,65.86304,86.15982
2020/8/7,68.80073,90.74277
2020/8/8,66.670296,87.5472
2020/8/9,59.24561,75.378105
2020/8/10,62.90515,78.95546
2020/8/11,56.873756,76.32444
2020/8/12,60.012123,77.64319
2020/8/13,60.519604,81.98267
2020/8/14,62.24181,79.88865
2020/8/15,65.41057,86.86779
2020/8/16,65.28753,89.31617
2020/8/17,73.36322,92.06603
2020/8/18,74.43633,90.861725
2020/8/19,68.6923,89.70761
2020/8/20,70.59345,93.32722
